Package                           Version                Build                  Size       Kind   Source
libpng                            1.6.58                 h7351971_0             376.2 KiB  conda  https://conda.anaconda.org/conda-forge/
libprotobuf                       6.33.5                 h61fc761_0             6.8 MiB    conda  https://conda.anaconda.org/conda-forge/
libre2-11                         2025.11.05             h04e5de1_1             259.8 KiB  conda  https://conda.anaconda.org/conda-forge/
librttopo                         1.1.0                  haa95264_20            393.6 KiB  conda  https://conda.anaconda.org/conda-forge/
libsodium                         1.0.21                 h6a83c73_3             270.4 KiB  conda  https://conda.anaconda.org/conda-forge/
libspatialite                     5.1.0                  gpl_h2fc3b25_120       7.8 MiB    conda  https://conda.anaconda.org/conda-forge/
libsqlite                         3.53.1                 hf5d6505_0             1.2 MiB    conda  https://conda.anaconda.org/conda-forge/
libssh2                           1.11.1                 h9aa295b_0             285.9 KiB  conda  https://conda.anaconda.org/conda-forge/
libthrift                         0.22.0                 h2e43b2f_2             619.3 KiB  conda  https://conda.anaconda.org/conda-forge/
libtiff                           4.7.1                  h8f73337_1             969.9 KiB  conda  https://conda.anaconda.org/conda-forge/
libutf8proc                       2.11.3                 hb980946_0             87 KiB     conda  https://conda.anaconda.org/conda-forge/
libwebp-base                      1.6.0                  h4d5522a_0             272.6 KiB  conda  https://conda.anaconda.org/conda-forge/
libwinpthread                     12.0.0.r4.gg4f2fc60ca  h57928b3_10            35.8 KiB   conda  https://conda.anaconda.org/conda-forge/
libxcb                            1.17.0                 h0e4246c_0             1.2 MiB    conda  https://conda.anaconda.org/conda-forge/
libxml2                           2.15.3                 h8ef44ab_0             42.7 KiB   conda  https://conda.anaconda.org/conda-forge/
libxml2-16                        2.15.3                 h3cfd58e_0             507.7 KiB  conda  https://conda.anaconda.org/conda-forge/
libxml2-devel                     2.15.3                 h8ef44ab_0             120.7 KiB  conda  https://conda.anaconda.org/conda-forge/
libzlib                           1.3.2                  hfd05255_2             57 KiB     conda  https://conda.anaconda.org/conda-forge/
linkify-it-py                     2.1.0                  pyhcf101f3_0           25.5 KiB   conda  https://conda.anaconda.org/conda-forge/
llvm-openmp                       22.1.4                 h4fa8253_0             339.8 KiB  conda  https://conda.anaconda.org/conda-forge/
locket                            1.0.0                  pyhd8ed1ab_0           8.1 KiB    conda  https://conda.anaconda.org/conda-forge/
lz4                               4.4.5                  py314hfc2a91f_1        46 KiB     conda  https://conda.anaconda.org/conda-forge/
lz4-c                             1.10.0                 h2466b09_1             136.6 KiB  conda  https://conda.anaconda.org/conda-forge/
lzo                               2.10                   h6a83c73_1002          161.7 KiB  conda  https://conda.anaconda.org/conda-forge/
mapclassify                       2.10.0                 pyhd8ed1ab_1           791.8 KiB  conda  https://conda.anaconda.org/conda-forge/
markdown                          3.10.2                 pyhcf101f3_0           83.9 KiB   conda  https://conda.anaconda.org/conda-forge/
markdown-it-py                    4.0.0                  pyhd8ed1ab_0           63.2 KiB   conda  https://conda.anaconda.org/conda-forge/
markupsafe                        3.0.3                  py314h2359020_1        29.3 KiB   conda  https://conda.anaconda.org/conda-forge/
matplotlib-base                   3.10.9                 py314hfa45d96_0        7.9 MiB    conda  https://conda.anaconda.org/conda-forge/
